commune,departemen,latitude,longitude
JARNY,MEURTHE-ET-MOSELLE,49.16666217242415,5.868148235454817
BATZ-SUR-MER,LOIRE-ATLANTIQUE,47.28094955503439,-2.479068344361029
OBERMODERN-ZUTZENDORF,BAS-RHIN,48.842067335476116,7.547134662886041
PLOURIVO,COTES-D'ARMOR,48.74855504517865,-3.1351552581003985
SAVENAY,LOIRE-ATLANTIQUE,47.358398240456985,-1.9510774755343638
POINÇON-LÈS-LARREY,COTE-D'OR,47.867855749856254,4.459147883915634
VILLEFRANCHE-DE-CONFLENT,PYRENEES-ORIENTALES,42.591589997937426,2.3697742832315924
CALAIS,PAS-DE-CALAIS,50.94168252880898,1.8486567979601034
SAINT-MALO,ILLE-ET-VILAINE,48.64653029637104,-2.00405131346678
NUISEMENT-SUR-COOLE,MARNE,48.87990406634769,4.309546835033818
ODEREN,HAUT-RHIN,47.911834012609596,6.973583940197529
VILLEMOMBLE,SEINE-SAINT-DENIS,48.89231807143696,2.4984678465860277
SAVENNIÈRES,MAINE-ET-LOIRE,47.38152499354508,-0.6545272950459556
LAYRAC,LOT-ET-GARONNE,44.13167876196041,0.6644942666226995
AIGUES-VIVES,GARD,43.72672439743466,4.1936521205494754
PLOURIVO,COTES-D'ARMOR,48.72796201802464,-3.1285885975621075
BÉDARIEUX,HERAULT,43.60861386681905,3.1496789776707477
BEAUMONT-DE-LOMAGNE,TARN-ET-GARONNE,43.87824519347235,0.9862393223309622
DRUYE,INDRE-ET-LOIRE,47.30636201031551,0.5338225583763392
ASPRES-SUR-BUËCH,HAUTES-ALPES,44.51887418986359,5.754737548287199
BRAINE,AISNE,49.33305628551995,3.539797001630331
PARIS,PARIS,48.84431152340436,2.375645285904872
CELLE-SAINT-CLOUD (LA ),YVELINES,48.85424085483922,2.1321673677683775
FERTE-BERNARD (LA),SARTHE,48.186463463369535,0.6391218838092965
BRION-SUR-OURCE,COTE-D'OR,47.913609605715024,4.654152741884062
VARETZ,CORREZE,45.21628449532967,1.4296945827843413
